no,지역,대학,전과목,국어,영어,수학,사회,과학,국영수,국영수과,국영수사,국영수과사,불합
1,서울,5,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,0
2,서울,5,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,0
3,경기,5,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,0
4,경기,5,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,0
5,서울,6,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,0
6,경기,5,3.077,2.889,3.5,1.778,2.714,3.5,2.722,2.975,2.721,2.936,1
7,경기,6,7.548,7.722,7.5,7.944,7.5,7,7.722,7.629,7.64,7.585,0
8,경기,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
9,서울,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
10,서울,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
11,서울,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
12,서울,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
13,경기,5,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,0
14,서울,6,3.163,3.5,3.056,2.722,3.313,2.5,3.093,3.016,3.174,3.117,1
15,서울,5,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,0
16,서울,5,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,1
17,서울,4,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,0
18,서울,5,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,0
19,서울,5,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,0
20,서울,5,2.346,1.778,2.222,3.056,1.85,2.45,2.352,2.378,2.216,2.266,0
21,서울,5,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,1
22,서울,4,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,0
23,서울,5,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,0
24,서울,5,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,0
25,서울,4,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,0
26,서울,4,2.615,3.333,3,1.5,2.643,2.5,2.611,2.575,2.618,2.585,0
27,서울,1,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,0
28,서울,3,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,1
29,서울,2,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,0
30,서울,1,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,0
31,서울,4,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,0
32,서울,5,2.875,2.722,3.222,4,1.885,3.143,3.315,3.279,2.85,2.894,0
33,서울,5,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
34,서울,4,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
35,서울,4,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
36,경기,5,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
37,경기,5,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
38,경기,5,3.288,3.222,5,3.556,2.786,2.385,3.926,3.425,3.691,3.33,0
39,서울,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
40,서울,5,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
41,서울,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
42,세종,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
43,서울,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
44,충북,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,0
45,서울,6,5.269,5,5.5,5.222,4.929,5.654,5.241,5.375,5.176,5.309,1
